Ranking,Country,Visitors,log_Ranking,log_Visitors
1,中国,9594394,0.000 ,6.982 
2,韓国,5584597,0.301 ,6.747 
3,台湾,4890602,0.477 ,6.689 
4,香港,2290792,0.602 ,6.360 
5,米国,1723861,0.699 ,6.237 
6,タイ,1318977,0.778 ,6.120 
7,豪州,621771,0.845 ,5.794 
8,フィリピン,613114,0.903 ,5.788 
9,マレーシア,501592,0.954 ,5.700 
10,ベトナム,495051,1.000 ,5.695 
11,シンガポール,492252,1.041 ,5.692 
12,英国,424279,1.079 ,5.628 
13,インドネシア,412779,1.114 ,5.616 
14,カナダ,375262,1.146 ,5.574 
15,フランス,336333,1.176 ,5.527 
16,ドイツ,236544,1.204 ,5.374 
17,その他アジア,229584,1.230 ,5.361 
18,インド,175896,1.255 ,5.245 
19,イタリア,162769,1.279 ,5.212 
20,スペイン,130243,1.301 ,5.115 
21,その他ヨーロッパ,124882,1.322 ,5.096 
22,マカオ,121197,1.342 ,5.083 
23,ロシア,120043,1.362 ,5.079 
24,ニュージーランド,94115,1.380 ,4.974 
25,オランダ,79479,1.398 ,4.900 
26,メキシコ,71745,1.415 ,4.856 
27,その他南アメリカ,63625,1.431 ,4.804 
28,スイス,53908,1.447 ,4.732 
29,スウェーデン,53836,1.462 ,4.731 
30,ブラジル,47575,1.477 ,4.677 
31,イスラエル,44214,1.491 ,4.646 
32,アイルランド,39387,1.505 ,4.595 
33,ベルギー,39245,1.519 ,4.594 
34,ポーランド,38534,1.531 ,4.586 
35,デンマーク,32893,1.544 ,4.517 
36,ポルトガル,32349,1.556 ,4.510 
37,モンゴル,31513,1.568 ,4.498 
38,フィンランド,29437,1.580 ,4.469 
39,オーストリア,27530,1.591 ,4.440 
40,ノルウェー,24838,1.602 ,4.395 
41,トルコ,22724,1.613 ,4.356 
42,その他北アメリカ,16689,1.623 ,4.222 
43,その他オセアニア,5832,1.633 ,3.766 
44,無国籍・その他,728,1.643 ,2.862 